Species,Number,,Guide,Recorder,Lat,Long,Time,GPS Label,Obs-Anml Dist,Angle,Angle Radians,Perp,Distance frm Start,Direction traveled,Fruit,Obs Type,Trail,Weather,Temperature,Date,Start/End of Trail?,Category of Date,CoMMents,Loop,GIS #
BCH,4,,MOISE,CMS,,,844,,,90,,6,11,CW,,s,BD,PC,,1/7/99,,,,,17
CRG,7,,simon,BTM,,,858,,,270,,10,15,CW,,s,BD,,,9-Feb-99,,,,,18
PPH,2,,matthieu,BTM,,,904,,,90,,45,25,CW,,h,BD,,,25-Feb-99,,,,,19
CRG,10,,matthieu,BTM,,,849,,,15,,0,90,CW,,s,BD,,,25-Feb-99,,,,BD,20
GCM,1,,matthieu,BTM,,,857,,,90,,25,90,CW,,h,BD,,,25-Feb-99,,,,,21
BCH,1,,matthieu,BTM,,,857,,,270,,22,100,CW,,h,BD,,,25-Feb-99,,,,,22
MM,1,,matthieu,BTM,,,859,,,90,,30,100,CW,,h,BD,,,25-Feb-99,,,,,23
WNG,1,,matthieu,BTM,,,900,,,90,,55,100,CW,,h,BD,,,25-Feb-99,,,,,24
WCH,2,,matthieu,BTM,,,849,,,90,,25,120,CW,,h,BD,,,25-Feb-99,,,,,25
BCH,1,,MOISE,CMS,,,839,,,90,,78,308,CW,,h,BD,PC,,1/7/99,,,,,26
WNG,1,,simon,BTM,,,846,,59,200,,20.17902499,475,CW,,h,BD,,,9-Feb-99,,,,,27
BCH,2,,simon,BTM,,,835,,,0,,0,740,CW,,s,BD,,,9-Feb-99,,,,,28
GCM,8,,MOISE,CMS,,,808,,,90,,18,744,CW,,s,BD,PC,,1/7/99,,,,,29
WCH,1,,MOISE,CMS,,,808,,,90,,18,744,CW,,s,BD,PC,,1/7/99,,,,,30
RBDH,2,,simon,BTM,,,830,,39,220,,25.06861988,810,CW,,h,BD,,,9-Feb-99,,,,,31
BCH,1,,simon,BTM,,,830, ,,270,,45,810,CW,,h,BD,,,9-Feb-99,,,,,32
RBDH,1,,MOISE,CMS,,,808,,,90,,47,823,CW,,h,BD,PC,,1/7/99,,,,,33
WTH,2,,MOISE,CMS,,,802,,,270,,16,898,CW,,s,BD,PC,,1/7/99,,,,,34
WTH,3,,simon,BTM,,,805,,,90,,75,975,CW,,s,BD,,,9-Feb-99,,,,BD,35
BCH,3,,simon,BTM,,,810,,,90,,75,975,CW,,s,BD,,,9-Feb-99,,,,,42
GCM,2,,MOISE,CMS,,,757,,,90,,58,1022,CW,,h,BD,PC,,1/7/99,,,,,36
GBT,1,,MOISE,CLB,,,847,,,270,,21,1030,CW,,h,BD,OC,,1/22/99,,,,,37
GBT,1,,MOISE,CLB,,,847,,,270,,0,1060,CW,,s,BD,OC,,1/22/99,,,,,38
GBT,1,,MOISE,CLB,,,847,,,270,,47,1075,CW,,h,BD,OC,,1/22/99,,,,BD,39
AGP,2,,simon,BTM,,,755,,,270,,12,1280,CW,,s,BD,,,9-Feb-99,,,,,40
WNG,1,,MOISE,CLB,,,831,,,180,,73,1470,CW,,h,BD,OC,,1/22/99,,,,,41
APH,1,,MOISE,AAD,,,1100,,,90,,38,0,CCW,,h,BOU,C,,1/26/99,,,,,43
WCH,1,,simon,BTM,,,1116,,,6,,0,75,CCW,,s,BOU,,,11-Feb-99,,,,,44
GBT,1,,simon,BTM,,,1114,,,90,,10,150,CCW,,s,BOU,,,11-Feb-99,,,,,45
CRG,3,,MOISE,AAD,,,1021,,,90,,43,176,CCW,,h,BOU,C,,1/26/99,,,,K5,47
RBDH,1,,simon,BTM,,,1111,,32,160,,10.94471551,300,CCW,,h,BOU,,,11-Feb-99,,,,,48
RBDH,1,,simon,BTM,,,1111,,,90,,75,300,CCW,,h,BOU,,,11-Feb-99,,,,,49
APH,1,,Luke,BTM,,,638,,,90,,50,345,CCW,,h,BOU,OC,,1/22/99,,,,JL,50
CRG,3,,Luke,BTM,,,639,,,270,,30,345,CCW,,s,BOU,OC,,1/22/99,,,,,51
WNG,2,,Luke,BTM,,,639,,,90,,40,345,CCW,,h,BOU,OC,,1/22/99,,,,,52
WNG,2,,Luke,BTM,,,639,,,270,,25,345,CCW,,h,BOU,OC,,1/22/99,,,,,53
WCH,1,,Luke,BTM,,,654,,,90,,30,350,CCW,,h,BOU,OC,,1/22/99,,,,,54
RBDH,2,,Luke,BTM,,,701,,,90,,80,400,CCW,,h,BOU,OC,,1/22/99,,,,,55
GCM,2,,Luke,BTM,,,719,,,90,,60,496,CCW,,h,BOU,OC,,1/22/99,,,,,56
GCM,2,,Luke,BTM,,,719,,,270,,40,496,CCW,,h,BOU,OC,,1/22/99,,,,,57
GCM,4,,Luke,BTM,,,731,,,90,,25,765,CCW,,s,BOU,OC,,1/22/99,,,,,58
GCM,2,,Luke,BTM,,,750,,,90,,50,850,CCW,,h,BOU,OC,,1/22/99,,,,,59
WNG,3,,Augustine,CLB,,,632,,,90,,21,100,CCW,,s,CDC,OC,,1/21/99,,,,EL,60
GBT,2,,Augustine,CLB,,,704,,,270,,32,141,CCW,,h,CDC,OC,,1/21/99,,,,,61
AGP,2,,Augustine,CLB,,,700,,,180,,50,170,CCW,,h,CDC,OC,,1/21/99,,,,,62
MM,2,,MOISE,CLB,,,632,,,270,,23,180,CW,,h,CDC,OC,,1/22/99,,,,BD,63
AGP,2,,simon,BTM,,,644,,,90,,10,320,CW,,h,CDC,,,9-Feb-99,,,,BD,64
RBDH,2,,Augustine,CLB,,,723,,,90,,84,575,CCW,,h,CDC,OC,,1/21/99,,,,,65
BWC,1,,Augustine,CLB,,,723,,,270,,28,605,CCW,,,CDC,OC,,1/21/99,,,,,66
WNG,1,,Augustine,CLB,,,723,,,270,,28,625,CCW,,h,CDC,OC,,1/21/99,,,,,67
RBDH,2,,MOISE,CLB,,,649,,,30,,81,665,CW,,h,CDC,OC,,1/22/99,,,,,68
RBDH,1,,MOISE,CLB,,,649,,,340,,69,665,CW,,h,CDC,OC,,1/22/99,,,,,69
MM,1,,P.PASCAL,BCW,,,1119,,,270,,1,665,CW,,s,CDC,,,5-Feb-99,,,,,70
WCH,1,,P.PASCAL,BCW,,,1119,,,270,,5,665,CW,,h,CDC,,,5-Feb-99,,,,,71
WCH,1,,P.PASCAL,BCW,,,1100,,,90,,22,746,CW,,s,CDC,,,5-Feb-99,,,,,72
WNG,5,,P.PASCAL,BCW,,,1106,,,90,,22,746,CW,,h,CDC,,,5-Feb-99,,,,,73
CRG,1,,P.PASCAL,BCW,,,1106,,,90,,22,746,CW,,h,CDC,,,5-Feb-99,,,,,74
RBDH,2,,P.PASCAL,BCW,,,1100,,,270,,80,755,CW,,h,CDC,,,5-Feb-99,,,,,75
WNG,2,,MOISE,CLB,,,657,,,270,,10,880,CW,,s,CDC,OC,,1/22/99,,,,,76
CRG,1,,MOISE,CLB,,,657,,,90,,10,880,CW,,h,CDC,OC,,1/22/99,,,,,88
WCH,1,,MOISE,CLB,,,707,,,90,,73,900,CW,,h,CDC,OC,,1/22/99,,,,,77
PPH,1,,Augustine,CLB,,,746,,,270,,75,1000,CCW,,h,CDC,OC,,1/21/99,,,,,78
WNG,1,,Augustine,CLB,,,746,,,90,,35,1000,CCW,,h,CDC,OC,,1/21/99,,,,,79
CRG,7,,Augustine,CLB,,,756,,,90,,73,1000,CCW,,s,CDC,OC,,1/21/99,,,,,80
WCH,5,,Augustine,CLB,,,746,,,90,,35,1015,CCW,,s,CDC,OC,,1/21/99,,,,,81
WTH,4,,MOISE,CLB,,,715,,,270,,41,1100,CW,,h,CDC,OC,,1/22/99,,,,,82
GCM,1,,MOISE,CLB,,,719,,,270,,69,1100,CW,,h,CDC,OC,,1/22/99,,,,,83
AGP,1,,MOISE,CLB,,,720,,,270,,79,1100,CW,,h,CDC,OC,,1/22/99,,,,,84
RBDH,2,,MOISE,CLB,,,720,,,270,,89,1110,CW,,h,CDC,OC,,1/22/99,,,,,85
