Species,Number,Mortals,Guide,Recorder,Lat,Long,Time,GPS Label,Obs-Anml Dist,Angle,Angle Radians,Perp,Distance frm Start,Direction traveled,Fruit,Obs Type,Trail,Weather,Temperature,Date,Start/End of Trail?,Category of Date,Comments
WCH,1,1,Jean-Jacques,ALL,3.19247,12.817665,2017-01-31T05:39:11Z,WCH 1,7,60,1.047197551,6.062177826,480,CCW,,h,ENT,Overcast,22,1/31/17,6:25,EM,Everything in yellow might not have right distance from start
AGP,1,1,Jean-Jacques,ALL,3.193134,12.817764,2017-01-31T05:44:29Z,AGP 2,0,0,0,0,540,CCW,,h,ENT,Overcast,,1/31/17,,EM,
RBDH,1,1,Jean-Jacques,ALL,3.19391,12.819243,2017-01-31T05:51:36Z,RBDH 3,5,320,5.585053606,3.213938048,710,CCW,,h,ENT,Overcast,,1/31/17,,EM,
RBDH,2,2,Jean-Jacques,ALL,3.19391,12.819243,2017-01-31T05:51:36Z,RBDH 3,900,340,5.934119457,307.818129,710,CCW,,h,ENT,Overcast,,1/31/17,,EM,
GBT,1,0,Jean-Jacques,ALL,3.19391,12.819243,2017-01-31T05:51:36Z,RBDH 3,100,200,3.490658504,34.20201433,710,CCW,,h,ENT,Overcast,,1/31/17,,EM,
BCH,3,3,Jean-Jacques,ALL,3.19626,12.822314,2017-01-31T06:09:17Z,BCH 4,800,270,4.71238898,800,1170,CCW,,h,ENT,Overcast,,1/31/17,,EM,
RBDH,1,1,Jean-Jacques,ALL,3.19626,12.822314,2017-01-31T06:09:17Z,BCH 4,160,160,2.792526803,54.72322293,1170,CCW,,h,ENT,Overcast,,1/31/17,,EM,
PPH,4,4,Jean-Jacques,ALL,3.197409,12.822201,2017-01-31T06:15:34Z,PPH 5,0,0,0,0,1200,CCW,,s,ENT,Overcast,,1/31/17,,EM,
BCH,2,2,Jean-Jacques,ALL,3.197554,12.822068,2017-01-31T06:26:17Z,WNG 6,100,270,4.71238898,100,1230,CCW,,h,ENT,Overcast,,1/31/17,,EM,
WNG,25,15,Jean-Jacques,ALL,3.197554,12.822068,2017-01-31T06:26:17Z,WNG 6,40,100,1.745329252,39.39231012,1230,CCW,,s,ENT,Overcast,,1/31/17,,EM,But we really only saw 5
PPH,1,1,Jean-Jacques,ALL,3.197554,12.822068,2017-01-31T06:26:17Z,WNG 6,200,300,5.235987756,173.2050808,1230,CCW,,h,ENT,Overcast,,1/31/17,,EM,
CRG,1,1,Jean-Jacques,ALL,3.199032,12.820826,2017-01-31T06:36:24Z,CRG 7,320,200,3.490658504,109.4464459,1250,CCW,,h,ENT,Overcast,,1/31/17,,EM,
BCH,2,2,Jean-Jacques,ALL,3.202271,12.822187,2017-01-31T06:47:48Z,BCH 8,300,120,2.094395102,259.8076211,1620,CCW,,h,ENT,Overcast,,1/31/17,,EM,
RBDH,2,2,Jean-Jacques,ALL,3.202365,12.822288,2017-01-31T06:51:12Z,RBDH 9,20,100,1.745329252,19.69615506,1630,CCW,,s,ENT,Overcast,,1/31/17,,EM,
WTH,1,1,Jean-Jacques,ALL,3.202365,12.822288,2017-01-31T06:51:12Z,RBDH 9,20,20,0.34906585,6.840402867,1630,CCW,,h,ENT,Overcast,,1/31/17,,EM,
BCH,1,1,Jean-Jacques,ALL,3.205595,12.824391,2017-01-31T07:05:35Z,BCH 10,900,320,5.585053606,578.5088487,2006,CCW,,h,ENT,Overcast,,1/31/17,,EM,
WNG,11,3,Jean-Jacques,ALL,3.206026,12.82443,2017-01-31T07:09:50Z,WNG 11,300,100,1.745329252,295.4423259,2110,CCW,,h,ENT,Overcast,,1/31/17,,EM,
BCH,2,2,Jean-Jacques,ALL,3.206026,12.82443,2017-01-31T07:09:50Z,WNG 11,350,30,0.523598776,175,2110,CCW,,s,ENT,Overcast,,1/31/17,,EM,
BCH,1,1,Jean-Jacques,ALL,3.210961,12.822853,2017-01-31T07:28:14Z,BCH 12,100,270,4.71238898,100,2490,CCW,,h,ENT,Overcast,,1/31/17,,EM,
AGP,2,2,Jean-Jacques,ALL,3.211402,12.822687,2017-01-31T07:32:12Z,ENT END,0,0,0,0,2490,CCW,,s,ENT,Overcast,No end temp,1/31/17,8:32,EM,
BCH,1,1,Jean-Jacques,ALL,3.211451,12.822239,2017-01-31T07:45:36Z,BCH 13,100,20,0.34906585,34.20201433,45,CCW,,h,BD,Precipation,No start temp,1/31/17,8:43,MM,
BCH,3,3,Jean-Jacques,ALL,3.211639,12.821493,2017-01-31T07:50:15Z,BCH 14,100,100,1.745329252,98.4807753,135,CCW,,s,BD,Precipation,,1/31/17,,MM,
BCH,3,3,Jean-Jacques,ALL,3.208936,12.815595,2017-01-31T08:34:21Z,Gorilla Poop,0,0,0,0,250,CCW,,s,BD,Precipation,,1/31/17,,MM,
CRG,18,0,Jean-Jacques,ALL,3.208936,12.815595,2017-01-31T08:34:21Z,CRG 15,3,300,5.235987756,2.598076211,841,CCW,,s,BD,Precipation,,1/31/17,,MM,
WCH,1,1,Jean-Jacques,ALL,3.208936,12.815595,2017-01-31T08:34:21Z,CRG 15,0,0,0,0,841,CCW,,s,BD,Precipation,,1/31/17,,MM,
BCH,1,1,Jean-Jacques,ALL,3.209244,12.810731,2017-01-31T09:03:43Z,BLDWN END,90,160,2.792526803,30.7818129,900,CCW,,h,BD,Precipation,No end temp,1/31/17,,MM,
BCH,1,1,Jean-Jacques,ALL,3.187682,12.810814,2017-02-01T05:21:37Z,BCH 16,50,100,1.745329252,49.24038765,200,CW,,s,MBA,Overcast,22,2/1/17,6:15,EM,
AGP,2,2,Jean-Jacques,ALL,3.187682,12.810814,2017-02-01T05:21:37Z,BCH 16,0,0,0,0,200,CW,,s,MBA,Overcast,,2/1/17,,EM,
BCH,20,20,Jean-Jacques,ALL,3.187171,12.811076,2017-02-01T05:27:05Z,CRG 17,0,0,0,0,332,CW,,s,MBA,Overcast,,2/1/17,,EM,
CRG,15,7,Jean-Jacques,ALL,3.187171,12.811076,2017-02-01T05:27:05Z,CRG 17,30,280,4.886921906,29.54423259,332,CW,,s,MBA,Overcast,,2/1/17,,EM,
BCH,3,3,Jean-Jacques,ALL,3.186614,12.811518,2017-02-01T05:40:43Z,BCH 18,20,300,5.235987756,17.32050808,636,CW,,s,MBA,Overcast,,2/1/17,,EM,
WCH,1,1,Jean-Jacques,ALL,3.179782,12.815359,2017-02-01T06:08:56Z,WCH 19,20,270,4.71238898,20,2100,CW,,s,MBA,Overcast,,2/1/17,7:26,EM,
WCH,3,3,Jean-Jacques,ALL,3.173829,12.815376,2017-02-01T07:32:17Z,WCH 20,15,200,3.490658504,5.13030215,0,CW,,s,JL,Overcast,22,2/1/17,8:30,MM,
APH,2,2,Jean-Jacques,ALL,3.173829,12.815376,2017-02-01T07:32:17Z,WCH 20,60,350,6.108652382,10.41889066,0,CW,,s,JL,Overcast,,2/1/17,,MM,
CRG,7,1,Jean-Jacques,ALL,3.173829,12.815376,2017-02-01T07:32:17Z,WCH 20,40,320,5.585053606,25.71150439,0,CW,,h,JL,Overcast,,2/1/17,,MM,
BCH,5,5,Jean-Jacques,ALL,3.173829,12.815376,2017-02-01T07:32:17Z,WCH 20,80,300,5.235987756,69.2820323,0,CW,,s,JL,Overcast,,2/1/17,,MM,
GBT,1,1,Jean-Jacques,ALL,3.173829,12.815376,2017-02-01T07:32:17Z,WCH 20,130,0,0,0,0,CW,,h,JL,Overcast,,2/1/17,,MM,
GBT,2,2,Jean-Jacques,ALL,3.173829,12.815376,2017-02-01T07:32:17Z,GBT 21,40,300,5.235987756,34.64101615,400,CW,,h,JL,Overcast,,2/1/17,,MM,
GBT,2,2,Jean-Jacques,ALL,3.172154,12.814898,2017-02-01T07:59:55Z,GBT 22,100,280,4.886921906,98.4807753,870,CW,,s,JL,Overcast,22,2/1/17,9:49,MM,
APH,2,2,Jean-Jacques,ALL,3.172565,12.810532,2017-02-01T08:30:22Z,APH 23,0,0,0,0,N/A,CW,,s,BOU,Sunny,25,2/1/17,12:12,LM,
APH,3,3,Jean-Jacques,ALL,3.17606,12.805579,2017-02-01T09:07:38Z,APH 24,0,0,0,0,N/A,CW,,s,BOU,Sunny,,2/1/17,,LM,
GCM,4,4,Jean-Jacques,ALL,3.177531,12.80318,2017-02-01T10:16:05Z,GCM 25,30,260,4.537856055,29.54423259,N/A,CW,,s,BOU,Sunny,,2/1/17,,LM,
BCH,4,4,Jean-Jacques,ALL,3.188443,12.806773,2017-02-01T11:24:39Z,BCH 26,40,0,0,0,600,CW,,h,BOU,Sunny,,2/1/17,,LM,
RBDH,1,1,Jean-Jacques,ALL,3.18902,12.809059,2017-02-01T11:34:13Z,RBDH 27,5,20,0.34906585,1.710100717,N/A,CW,,h,BOU,Sunny,25,2/1/17,12:43,LM,
CRG,1,0,Luke,JM,3.189047,12.80926,2017-02-02T05:33:51Z,23,25,10,0.174532925,4.341204442,90,CW,,h,BOU,Overcast,,2/2/17,6:26,EM,First Day With Luke. Marina and Jesse thinks missing BCH
RBDH,2,2,Luke,JM,3.188304,12.8057,2017-02-02T05:51:18Z,24,15,100,1.745329252,14.7721163,600,CW,,h,BOU,Overcast,,2/2/17,,EM,
APH,2,2,Luke,JM,3.188312,12.803397,2017-02-02T06:02:33Z,25,0,0,0,0,990,CW,,s,BOU,Overcast,,2/2/17,7:15,EM,
RBDH,2,2,Luke,JM,3.190672,12.802609,2017-02-02T06:30:30Z,28,10,90,1.570796327,10,27,CW,,h,FW,Overcast,,2/2/17,7:25,EM,
AGP,4,4,Luke,JM,3.191194,12.802985,2017-02-02T06:35:55Z,29,0,0,0,0,118,CW,,s,FW,Overcast,,2/2/17,,EM,
APH,1,1,Luke,JM,3.195189,12.800743,2017-02-02T07:34:31Z,32,20,350,6.108652382,3.472963553,218,CW,,s,FW,Overcast,,2/2/17,,EM,
CRG,10,10,Luke,JM,3.195189,12.800743,2017-02-02T07:34:31Z,32,100,340,5.934119457,34.20201433,1114,CW,,s,FW,Overcast,,2/2/17,,EM,
WNG,10,10,Luke,JM,3.195189,12.800743,2017-02-02T07:34:31Z,32,30,340,5.934119457,10.2606043,1124,CW,,s,FW,Overcast,,2/2/17,9:02,EM,
BCH,2,0,Luke,JM,3.205202,12.802282,2017-02-02T08:46:37Z,37,50,190,3.316125579,8.682408883,1300,CW,,h,EL,Overcast,,2/2/17,9:02,MM,
CRG,20,0,Luke,JM,3.206061,12.803157,2017-02-02T08:55:03Z,38,20,100,1.745329252,19.69615506,1579,CW,,s,EL,Overcast,,2/2/17,,MM,
CRG,25,25,Luke,JM,3.206496,12.803558,2017-02-02T09:03:17Z,39,50,270,4.71238898,50,1709,CW,,s,EL,Overcast,,2/2/17,,MM,
WNG,30,30,Luke,JM,3.206469,12.803783,2017-02-02T09:06:18Z,40,50,300,5.235987756,43.30127019,1710,CW,,s,EL,Overcast,,2/2/17,,MM,
AGP,1,1,Luke,JM,3.206469,12.803783,2017-02-02T09:06:18Z,40,50,80,1.396263402,49.24038765,1710,CW,,s,EL,Overcast,,2/2/17,,MM,
CHIMP,13,13,Luke,JM,3.206469,12.803783,2017-02-02T09:06:18Z,40,300,190,3.316125579,52.0944533,1710,CW,,h,EL,Overcast,,2/2/17,,MM,
BCH,3,3,Luke,JM,3.206469,12.803783,2017-02-02T09:06:18Z,40,50,0,0,0,1718,CW,,s,EL,Overcast,,2/2/17,Break 10:36-11:00,MM,
BCH,6,6,Luke,JM,3.20853,12.809048,2017-02-02T10:02:30Z,41,0,0,0,0,2450,CW,,s,EL,Overcast,,2/2/17,11:17,MM,
APH,1,1,Luke,JM,3.202212,12.810869,2017-02-02T10:58:14Z,45,10,110,1.919862177,9.396926208,1209,CW,,h,CDC,Overcast,,2/2/17,11:25,LM,
RBDH,4,4,Luke,JM,3.200033,12.8113,2017-02-02T11:06:58Z,46,0,0,0,0,1709,CW,,h,CDC,Overcast,,2/2/17,,LM,
WNG,15,15,Luke,JM,3.199742,12.81189,2017-02-02T11:10:35Z,47,200,340,5.934119457,68.40402867,1818,CW,,h,CDC,Overcast,,2/2/17,,LM,
BWC,15,15,Luke,JM,3.199742,12.81189,2017-02-02T11:10:35Z,47,200,340,5.934119457,68.40402867,1818,CW,,h,CDC,Overcast,,2/2/17,12:41,LM,
BCH,1,1,Jean-Jacques,ET,3.191143,12.811528,2017-02-02T05:22:56Z,N6 STRT,24,280,4.886921906,23.63538607,0,CCW,,h,N6,Overcast,Start Temp: 23,2/2/17,6:24,EM,
BCH,2,1,Jean-Jacques,ET,3.193267,12.81168,2017-02-02T05:33:07Z,BCH28,40,270,4.71238898,40,345,CCW,,h,N6,Overcast,,2/2/17,,EM,
BCH,1,1,Jean-Jacques,ET,3.194003,12.811339,2017-02-02T05:39:53Z,BCH29,30,100,1.745329252,29.54423259,500,CCW,,h,N6,Overcast,,2/2/17,,EM,
RBDH,1,1,Jean-Jacques,ET,3.194376,12.809311,2017-02-02T05:51:16Z,RBDH30,70,20,0.34906585,23.94141003,720,CCW,,h,N6,Overcast,,2/2/17,,EM,
CRG,2,2,Jean-Jacques,ET,3.194376,12.809311,2017-02-02T05:51:16Z,RBDH30,10,300,5.235987756,8.660254038,720,CCW,,s,N6,Overcast,,2/2/17,,EM,
BCH,2,2,Jean-Jacques,ET,3.194376,12.809311,2017-02-02T05:51:16Z,RBDH30,20,350,6.108652382,3.472963553,720,CCW,,h,N6,Overcast,,2/2/17,,EM,
CRG,2,2,Jean-Jacques,ET,3.194723,12.808317,2017-02-02T06:08:08Z,GRG31,40,260,4.537856055,39.39231012,780,CCW,,h,N6,Overcast,,2/2/17,,EM,
AGP,3,3,Jean-Jacques,ET,3.194997,12.807738,2017-02-02T06:15:34Z,AGP32,5,180,3.141592654,6.13E-16,940,CCW,,h,N6,Overcast,,2/2/17,,EM,
CRG,2,2,Jean-Jacques,ET,3.194997,12.807738,2017-02-02T06:15:34Z,AGP32,30,300,5.235987756,25.98076211,940,CCW,,s,N6,Overcast,,2/2/17,,EM,
BCH,2,2,Jean-Jacques,ET,3.195154,12.807516,2017-02-02T06:24:20Z,BCH33,10,90,1.570796327,10,960,CCW,,h,N6,Overcast,,2/2/17,,EM,
WTH,1,1,Jean-Jacques,ET,3.195243,12.807,2017-02-02T06:31:35Z,WTH34,60,20,0.34906585,20.5212086,970,CCW,,h,N6,Overcast,,2/2/17,,EM,
RBDH,3,3,Jean-Jacques,ET,3.195243,12.807,2017-02-02T06:31:35Z,WTH34,60,270,4.71238898,60,970,CCW,,h,N6,Overcast,,2/2/17,,EM,
BCH,1,1,Jean-Jacques,ET,3.195248,12.806472,2017-02-02T06:36:11Z,BCH35,40,10,0.174532925,6.945927107,991,CCW,,h,N6,Overcast,,2/2/17,,EM,
BCH,1,1,Jean-Jacques,ET,3.194978,12.805689,2017-02-02T06:43:58Z,BCH36,7,180,3.141592654,8.58E-16,1080,CCW,,h,N6,Overcast,,2/2/17,,EM,
BCH,1,1,Jean-Jacques,ET,3.194796,12.805458,2017-02-02T06:46:17Z,BCH37,40,0,0,0,1080,CCW,,h,N6,Overcast,,2/2/17,,EM,
APH,1,0,Jean-Jacques,ET,3.195527,12.802506,2017-02-02T07:05:20Z,APH38,200,90,1.570796327,200,1610,CCW,,h,N6,Overcast,,2/2/17,,MM,
BCH,1,1,Jean-Jacques,ET,3.195411,12.802257,2017-02-02T07:11:42Z,APH39,50,90,1.570796327,50,1610,CCW,,h,N6,Overcast,,2/2/17,,MM,
BCH,1,1,Jean-Jacques,ET,3.195411,12.802257,2017-02-02T07:11:42Z,BCH39,10,20,0.34906585,3.420201433,1620,CCW,,h,N6,Overcast,,2/2/17,,MM,
