Species,Number,Mortals,Guide,Recorder,Lat,Long,Time,GPS Label,Obs-Anml Dist,Angle,Perp,Distance frm Start,Direction traveled,Fruit,Obs Type,Trail,Weather,Temperature,Date,Start/End of Trail?,Category of Date,Comments,Repetition
WCH,1,1,Jean-Jacques,ALL,3.19247,12.817665,2017-01-31T05:39:11Z,WCH 1,7,60,,480,CCW,,h,Entrance,Overcast,22,1/31/2017,6:25,EM,Everything in yellow might not have right distance from start,1
AGP,1,1,Jean-Jacques,ALL,3.193134,12.817764,2017-01-31T05:44:29Z,AGP 2,0,0,,540,CCW,,h,Entrance,Overcast,,1/31/2017,,EM,,1
RBDH,1,1,Jean-Jacques,ALL,3.19391,12.819243,2017-01-31T05:51:36Z,RBDH 3,5,320,,710,CCW,,h,Entrance,Overcast,,1/31/2017,,EM,,1
RBDH,2,2,Jean-Jacques,ALL,3.19391,12.819243,2017-01-31T05:51:36Z,RBDH 3,900,340,,710,CCW,,h,Entrance,Overcast,,1/31/2017,,EM,,1
GBT,1,0,Jean-Jacques,ALL,3.19391,12.819243,2017-01-31T05:51:36Z,RBDH 3,100,200,,710,CCW,,h,Entrance,Overcast,,1/31/2017,,EM,,1
BCH,3,3,Jean-Jacques,ALL,3.19626,12.822314,2017-01-31T06:09:17Z,BCH 4,800,270,,1170,CCW,,h,Entrance,Overcast,,1/31/2017,,EM,,1
RBDH,1,1,Jean-Jacques,ALL,3.19626,12.822314,2017-01-31T06:09:17Z,BCH 4,160,160,,1170,CCW,,h,Entrance,Overcast,,1/31/2017,,EM,,1
PPH,4,4,Jean-Jacques,ALL,3.197409,12.822201,2017-01-31T06:15:34Z,PPH 5,0,0,,1200,CCW,,s,Entrance,Overcast,,1/31/2017,,EM,,1
BCH,2,2,Jean-Jacques,ALL,3.197554,12.822068,2017-01-31T06:26:17Z,WNG 6,100,270,,1230,CCW,,h,Entrance,Overcast,,1/31/2017,,EM,,1
WNG,25,15,Jean-Jacques,ALL,3.197554,12.822068,2017-01-31T06:26:17Z,WNG 6,40,100,,1230,CCW,,s,Entrance,Overcast,,1/31/2017,,EM,But we really only saw 5,1
PPH,1,1,Jean-Jacques,ALL,3.197554,12.822068,2017-01-31T06:26:17Z,WNG 6,200,300,,1230,CCW,,h,Entrance,Overcast,,1/31/2017,,EM,,1
CRG,1,1,Jean-Jacques,ALL,3.199032,12.820826,2017-01-31T06:36:24Z,CRG 7,320,200,,1250,CCW,,h,Entrance,Overcast,,1/31/2017,,EM,,1
BCH,2,2,Jean-Jacques,ALL,3.202271,12.822187,2017-01-31T06:47:48Z,BCH 8,300,120,,1620,CCW,,h,Entrance,Overcast,,1/31/2017,,EM,,1
